run_id,trade_id,strategy,symbol,entry_date,exit_date,entry_dte,entry_expiration,entry_credit,max_risk,exit_reason,realized_pnl,return_on_risk,days_held
sim_2019-02-09_2026-05-21_29c06ed80e5a,short_straddle_SPY_000106,short_straddle,SPY,2023-12-13,2024-01-10,30,2024-01-12,11.24,8286.0,PRE_EXPIRY_CLOSE,21.892217,0.002642,28
sim_2019-02-09_2026-05-21_29c06ed80e5a,put_credit_spread_SPY_000107,put_credit_spread,SPY,2023-12-15,2024-01-12,28,2024-01-12,0.915,808.5,EARLY_PROFIT_TARGET,89.5,0.110699,28
sim_2019-02-09_2026-05-21_29c06ed80e5a,short_straddle_SPY_000108,short_straddle,SPY,2024-01-10,2024-02-07,30,2024-02-09,12.2,8311.199951,PRE_EXPIRY_CLOSE,242.07659,0.029127,28
sim_2019-02-09_2026-05-21_29c06ed80e5a,put_credit_spread_SPY_000109,put_credit_spread,SPY,2024-01-12,2024-02-09,28,2024-02-09,1.585,1541.5,EARLY_PROFIT_TARGET,156.5,0.101524,28
sim_2019-02-09_2026-05-21_29c06ed80e5a,short_straddle_SPY_000110,short_straddle,SPY,2024-02-07,2024-03-06,30,2024-03-08,12.575,8704.500122,PRE_EXPIRY_CLOSE,106.630827,0.01225,28
sim_2019-02-09_2026-05-21_29c06ed80e5a,put_credit_spread_SPY_000111,put_credit_spread,SPY,2024-02-09,2024-03-08,28,2024-03-08,1.11,889.0,EARLY_PROFIT_TARGET,109.0,0.12261,28
sim_2019-02-09_2026-05-21_29c06ed80e5a,short_straddle_SPY_000112,short_straddle,SPY,2024-03-06,2024-04-03,30,2024-04-05,14.415,8753.5,PRE_EXPIRY_CLOSE,13.610712,0.001555,28
sim_2019-02-09_2026-05-21_29c06ed80e5a,put_credit_spread_SPY_000113,put_credit_spread,SPY,2024-03-08,2024-04-05,28,2024-04-05,2.115,1788.5,EARLY_PROFIT_TARGET,209.5,0.117137,28
sim_2019-02-09_2026-05-21_29c06ed80e5a,put_credit_spread_SPY_000115,put_credit_spread,SPY,2024-04-05,2024-04-19,28,2024-05-03,2.675,2032.5,EARLY_PROFIT_TARGET,249.492,0.122751,14
sim_2019-02-09_2026-05-21_29c06ed80e5a,short_straddle_SPY_000114,short_straddle,SPY,2024-04-03,2024-04-29,27,2024-04-30,13.77,9011.199463,PRE_EXPIRY_CLOSE,-48.468972,-0.005379,26
sim_2019-02-09_2026-05-21_29c06ed80e5a,put_credit_spread_SPY_000116,put_credit_spread,SPY,2024-04-19,2024-05-17,28,2024-05-17,3.67,2533.0,EARLY_PROFIT_TARGET,365.0,0.144098,28
sim_2019-02-09_2026-05-21_29c06ed80e5a,short_straddle_SPY_000117,short_straddle,SPY,2024-04-29,2024-05-22,25,2024-05-24,14.465,8754.699951,PRE_EXPIRY_CLOSE,385.046913,0.043982,23
sim_2019-02-09_2026-05-21_29c06ed80e5a,put_credit_spread_SPY_000118,put_credit_spread,SPY,2024-05-17,2024-06-14,28,2024-06-14,1.22,978.0,EARLY_PROFIT_TARGET,120.0,0.122699,28
sim_2019-02-09_2026-05-21_29c06ed80e5a,short_straddle_SPY_000119,short_straddle,SPY,2024-05-22,2024-06-20,30,2024-06-21,13.155,9281.100342,PRE_EXPIRY_CLOSE,161.370234,0.017387,29
sim_2019-02-09_2026-05-21_29c06ed80e5a,put_credit_spread_SPY_000120,put_credit_spread,SPY,2024-06-14,2024-07-12,28,2024-07-12,2.035,1996.5,EARLY_PROFIT_TARGET,201.5,0.100927,28
sim_2019-02-09_2026-05-21_29c06ed80e5a,short_straddle_SPY_000121,short_straddle,SPY,2024-06-21,2024-07-17,28,2024-07-19,13.54,9536.200195,PRE_EXPIRY_CLOSE,120.17455,0.012602,26
sim_2019-02-09_2026-05-21_29c06ed80e5a,put_credit_spread_SPY_000122,put_credit_spread,SPY,2024-07-12,2024-08-07,28,2024-08-09,1.255,1024.5,ITM_NEAR_EXPIRY_ROLL,-2.06275,-0.002013,26
sim_2019-02-09_2026-05-21_29c06ed80e5a,short_straddle_SPY_000123,short_straddle,SPY,2024-07-17,2024-08-14,30,2024-08-16,15.98,9540.800049,PRE_EXPIRY_CLOSE,-87.922603,-0.009215,28
sim_2019-02-09_2026-05-21_29c06ed80e5a,put_credit_spread_SPY_000124,put_credit_spread,SPY,2024-08-12,2024-09-06,25,2024-09-06,4.11,2789.0,EARLY_PROFIT_TARGET,409.0,0.146648,25
sim_2019-02-09_2026-05-21_29c06ed80e5a,short_straddle_SPY_000125,short_straddle,SPY,2024-08-14,2024-09-11,30,2024-09-13,17.645,9110.5,PRE_EXPIRY_CLOSE,5.876286,0.000645,28
