Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2020-03-23T04:00:00Z,"DIA",2020-03-23T20:00:00Z,Buy,255,190.01,100,-6499,0,-6887,4072,6887,0,"	53,63" 
2020-04-02T20:00:00Z,"IWM   200501P00098000",2020-04-13T20:00:00Z,Sell,4.39,0.79,1,360,2,0,377,50,1,"	65,75" 
2020-04-02T20:00:00Z,"IWM   200501P00085000",2020-04-13T20:00:00Z,Buy,1.96,0.11,1,-185,2,-185.5,0,185.5,0,"	66,76" 
2020-04-02T20:00:00Z,"GLD   200501P00144000",2020-04-13T20:00:00Z,Sell,2.1,0.35,1,175,2,0,194.5,19.5,1,"	67,77" 
2020-04-02T20:00:00Z,"GLD   200501P00134500",2020-04-13T20:00:00Z,Buy,0.64,0.1,1,-54,2,-57.5,0,57.5,0,"	68,78" 
2020-04-03T20:00:00Z,"SPY   200427P00210000",2020-04-28T04:00:00Z,Buy,2.49,0,1,-249,1,-249,0,249,0,"	70,79" 
2020-04-03T20:00:00Z,"SPY   200427P00236000",2020-04-28T04:00:00Z,Sell,6.93,0,1,693,1,0,693,28,1,"	69,80" 
2020-04-03T20:00:00Z,"DIA   200501P00175000",2020-05-02T04:00:00Z,Buy,3.5,0,1,-350,1,-350,0,350,0,"	74,85" 
2020-04-03T20:00:00Z,"DIA   200501P00198000",2020-05-02T04:00:00Z,Sell,7.35,0,1,735,1,-20,735,31.5,1,"	73,86" 
2020-04-03T20:00:00Z,"QQQ   200501P00152000",2020-05-02T04:00:00Z,Buy,1.97,0,1,-197,1,-197,0,197,0,"	72,87" 
2020-04-03T20:00:00Z,"QQQ   200501P00174000",2020-05-02T04:00:00Z,Sell,5.53,0,1,553,1,0,553,50.5,1,"	71,88" 
2020-05-04T20:00:00Z,"GLD   200529P00147500",2020-05-30T04:00:00Z,Buy,0.53,0,1,-53,1,-53,0,53,0,"	84,101" 
2020-05-04T20:00:00Z,"GLD   200529P00155000",2020-05-30T04:00:00Z,Sell,1.74,0,1,174,1,0,174,37,1,"	83,102" 
2020-05-04T20:00:00Z,"QQQ   200529P00191500",2020-05-30T04:00:00Z,Buy,2.51,0,1,-251,1,-251,0,251,0,"	82,103" 
2020-05-04T20:00:00Z,"QQQ   200529P00202500",2020-05-30T04:00:00Z,Sell,4.55,0,1,455,1,0,455,160,1,"	81,104" 
2020-05-05T20:00:00Z,"SPY   200529P00271000",2020-05-19T20:00:00Z,Sell,5.32,0.75,1,457,2,0,464,255.5,1,"	89,95" 
2020-05-05T20:00:00Z,"SPY   200529P00249000",2020-05-19T20:00:00Z,Buy,1.87,0.14,1,-173,2,-175,0,175,0,"	90,96" 
2020-05-05T20:00:00Z,"IWM   200529P00118500",2020-05-21T20:00:00Z,Sell,3.2,0.36,1,284,2,-66,297.5,282,1,"	91,97" 
2020-05-05T20:00:00Z,"IWM   200529P00106000",2020-05-21T20:00:00Z,Buy,0.99,0.02,1,-97,2,-97,0,97,0,"	92,98" 
2020-05-05T20:00:00Z,"DIA   200529P00225000",2020-05-21T20:00:00Z,Sell,4.1,0.45,1,365,2,0,385.5,254,1,"	93,99" 
2020-05-05T20:00:00Z,"DIA   200529P00205000",2020-05-21T20:00:00Z,Buy,1.93,0.02,1,-191,2,-191,0,191,0,"	94,100" 
2020-06-02T20:00:00Z,"SPY   200626P00294000",2020-06-09T20:00:00Z,Sell,4.45,1.06,1,339,2,0,340,37,1,"	105,115" 
2020-06-02T20:00:00Z,"SPY   200626P00271000",2020-06-09T20:00:00Z,Buy,1.44,0.31,1,-113,2,-113,0,113,0,"	106,116" 
2020-06-02T20:00:00Z,"IWM   200626P00133000",2020-06-09T20:00:00Z,Sell,3.21,0.67,1,254,2,0,255.5,31.5,1,"	107,117" 
2020-06-02T20:00:00Z,"IWM   200626P00120000",2020-06-09T20:00:00Z,Buy,0.96,0.12,1,-84,2,-84,0,84,0,"	108,118" 
2020-06-02T20:00:00Z,"DIA   200626P00245000",2020-06-09T20:00:00Z,Sell,3.85,0.85,1,300,2,0,306.5,23,1,"	111,119" 
2020-06-02T20:00:00Z,"DIA   200626P00225000",2020-06-09T20:00:00Z,Buy,1.35,0.17,1,-118,2,-118,0,118,0,"	112,120" 
2020-06-02T20:00:00Z,"QQQ   200626P00225000",2020-06-19T20:00:00Z,Sell,3.42,0.42,1,300,2,-56,310,299,1,"	109,121" 
2020-06-02T20:00:00Z,"QQQ   200626P00212000",2020-06-19T20:00:00Z,Buy,1.47,0.12,1,-135,2,-139,21,160,0,"	110,122" 
2020-06-02T20:00:00Z,"GLD   200626P00160500",2020-06-22T20:00:00Z,Sell,1.25,0.3,1,95,2,-271,109,271,1,"	113,123" 
2020-06-02T20:00:00Z,"GLD   200626P00155500",2020-06-22T20:00:00Z,Buy,0.32,0.03,1,-29,2,-30,93.5,123.5,0,"	114,124" 
2020-07-02T20:00:00Z,"SPY   200727P00278000",2020-07-28T04:00:00Z,Buy,1.37,0,1,-137,1,-137,0,137,0,"	126,135" 
2020-07-02T20:00:00Z,"SPY   200727P00300000",2020-07-28T04:00:00Z,Sell,4.29,0,1,429,1,0,429,74,1,"	125,136" 
2020-07-02T20:00:00Z,"DIA   200731P00225000",2020-08-01T04:00:00Z,Buy,1.64,0,1,-164,1,-164,0,164,0,"	132,137" 
2020-07-02T20:00:00Z,"DIA   200731P00246000",2020-08-01T04:00:00Z,Sell,4.5,0,1,450,1,0,450,112,1,"	131,138" 
2020-07-02T20:00:00Z,"GLD   200731P00156000",2020-08-01T04:00:00Z,Buy,0.41,0,1,-41,1,-41,0,41,0,"	134,139" 
2020-07-02T20:00:00Z,"GLD   200731P00163000",2020-08-01T04:00:00Z,Sell,1.52,0,1,152,1,0,152,12,1,"	133,140" 
2020-07-02T20:00:00Z,"IWM   200731P00120000",2020-08-01T04:00:00Z,Buy,0.87,0,1,-87,1,-87,0,87,0,"	128,141" 
2020-07-02T20:00:00Z,"IWM   200731P00135000",2020-08-01T04:00:00Z,Sell,3.26,0,1,326,1,-21,326,95,1,"	127,142" 
2020-07-02T20:00:00Z,"QQQ   200731P00219000",2020-08-01T04:00:00Z,Buy,1.34,0,1,-134,1,-134,0,134,0,"	130,143" 
2020-07-02T20:00:00Z,"QQQ   200731P00240000",2020-08-01T04:00:00Z,Sell,4.15,0,1,415,1,0,415,130,1,"	129,144" 
2020-08-04T20:00:00Z,"IWM   200828P00143500",2020-08-11T20:00:00Z,Sell,2.45,0.71,1,174,2,0,175.5,24.5,1,"	147,155" 
2020-08-04T20:00:00Z,"IWM   200828P00133000",2020-08-11T20:00:00Z,Buy,0.78,0.22,1,-56,2,-56,0,56,0,"	148,156" 
2020-08-04T20:00:00Z,"SPY   200828P00319000",2020-08-17T20:00:00Z,Sell,3.8,0.91,1,289,2,0,326.5,74.5,1,"	145,157" 
2020-08-04T20:00:00Z,"SPY   200828P00298000",2020-08-17T20:00:00Z,Buy,1.22,0.23,1,-99,2,-108.5,0,108.5,0,"	146,158" 
2020-08-04T20:00:00Z,"DIA   200828P00258000",2020-08-17T20:00:00Z,Sell,3.05,0.62,1,243,2,0,277.5,37.5,1,"	151,159" 
2020-08-04T20:00:00Z,"DIA   200828P00240000",2020-08-17T20:00:00Z,Buy,1.04,0.1,1,-94,2,-96.5,0,96.5,0,"	152,160" 
2020-08-04T20:00:00Z,"QQQ   200828P00260000",2020-08-18T20:00:00Z,Sell,4.21,1,1,321,2,-24,359.5,198,1,"	149,161" 
2020-08-04T20:00:00Z,"QQQ   200828P00240000",2020-08-18T20:00:00Z,Buy,1.19,0.16,1,-103,2,-106.5,0,106.5,0,"	150,162" 
2020-08-04T20:00:00Z,"GLD   200828P00181000",2020-08-28T20:00:00Z,Sell,1.97,0.9,1,107,2,-278,196,401,1,"	153,163" 
2020-08-04T20:00:00Z,"GLD   200828P00173000",2020-08-28T20:00:00Z,Buy,0.54,0.02,1,-52,2,-53,108.5,161.5,0,"	154,164" 
2020-09-02T20:00:00Z,"SPY   200928P00342000",2020-09-24T04:00:00Z,Sell,4.34,0,1,434,1,-1505.5,434,1598,0,"	165,175" 
2020-09-02T20:00:00Z,"QQQ   200930P00287000",2020-09-26T04:00:00Z,Sell,5.71,0,1,571,1,-1773,571,1775,0,"	169,176" 
2020-09-02T20:00:00Z,"SPY   200928P00315000",2020-09-29T04:00:00Z,Buy,1.49,0,1,-149,1,-149,196,345,0,"	166,177" 
2020-09-02T20:00:00Z,"DIA   200930P00255000",2020-10-01T04:00:00Z,Buy,1.39,0,1,-139,1,-139,100,239,0,"	172,178" 
2020-09-02T20:00:00Z,"DIA   200930P00277000",2020-10-01T04:00:00Z,Sell,3.95,0,1,395,1,-779,395,889,1,"	171,179" 
2020-09-02T20:00:00Z,"GLD   200930P00171000",2020-10-01T04:00:00Z,Buy,0.54,0,1,-54,1,-54,41,95,0,"	174,180" 
2020-09-02T20:00:00Z,"GLD   200930P00180000",2020-10-01T04:00:00Z,Sell,2.02,0,1,202,1,-373,202,490.5,0,"	173,181" 
2020-09-02T20:00:00Z,"IWM   200930P00138000",2020-10-01T04:00:00Z,Buy,0.86,0,1,-86,1,-86,101,187,0,"	168,182" 
2020-09-02T20:00:00Z,"IWM   200930P00151000",2020-10-01T04:00:00Z,Sell,2.8,0,1,280,1,-480,280,564,1,"	167,183" 
2020-09-02T20:00:00Z,"QQQ   200930P00262000",2020-10-01T04:00:00Z,Buy,1.85,0,1,-185,1,-185,566.5,751.5,0,"	170,184" 
2020-09-24T04:00:00Z,"SPY",2020-10-02T20:00:00Z,Buy,342,331.71,100,-1029,1,-1850,0,1850,0,"	175,195" 
2020-09-26T04:00:00Z,"QQQ",2020-10-02T20:00:00Z,Buy,287,276.02,100,-1098,1,-1269,0,1269,0,"	176,197" 
2020-10-01T04:00:00Z,"IWM",2020-10-02T20:00:00Z,Buy,151,149.43,100,-157,1,-157,185,342,0,"	183,196" 
2020-10-01T04:00:00Z,"GLD",2020-10-02T20:00:00Z,Buy,180,178.69,100,-131,1,-146,0,146,0,"	181,198" 
2020-10-02T20:00:00Z,"SPY   201026P00305000",2020-10-27T04:00:00Z,Buy,1.36,0,1,-136,1,-136,8.5,144.5,0,"	186,199" 
2020-10-02T20:00:00Z,"SPY   201026P00326000",2020-10-27T04:00:00Z,Sell,4.41,0,1,441,1,-72,441,190.5,1,"	185,200" 
2020-10-02T20:00:00Z,"DIA   201030P00250000",2020-10-31T04:00:00Z,Buy,1.21,0,1,-121,1,-121,0,121,0,"	192,201" 
2020-10-02T20:00:00Z,"DIA   201030P00269000",2020-10-31T04:00:00Z,Sell,3.9,0,1,390,1,-132,390,501.5,0,"	191,202" 
2020-10-02T20:00:00Z,"GLD   201030P00166500",2020-10-31T04:00:00Z,Buy,0.51,0,1,-51,1,-51,2,53,0,"	194,203" 
2020-10-02T20:00:00Z,"GLD   201030P00174500",2020-10-31T04:00:00Z,Sell,1.74,0,1,174,1,-46,174,112,1,"	193,204" 
2020-10-02T20:00:00Z,"IWM   201030P00130000",2020-10-31T04:00:00Z,Buy,0.64,0,1,-64,1,-64,0,64,0,"	188,205" 
2020-10-02T20:00:00Z,"IWM   201030P00145500",2020-10-31T04:00:00Z,Sell,2.95,0,1,295,1,0,295,40,1,"	187,206" 
2020-10-02T20:00:00Z,"QQQ   201030P00246000",2020-10-31T04:00:00Z,Buy,1.55,0,1,-155,1,-155,75.5,230.5,0,"	190,207" 
2020-10-02T20:00:00Z,"QQQ   201030P00270000",2020-10-31T04:00:00Z,Sell,5.54,0,1,554,1,-260.5,554,260.5,1,"	189,208" 
2020-10-31T04:00:00Z,"QQQ",2020-12-02T21:00:00Z,Buy,270,302.25,100,3225,1,-2,3385,1119,1,"	208,239" 
2020-10-31T04:00:00Z,"DIA",2020-12-02T21:00:00Z,Buy,269,297.05,100,2805,1,0,3143,745,1,"	202,240" 
2020-11-03T21:00:00Z,"SPY   201127P00315000",2020-11-06T21:00:00Z,Sell,6.3,1.48,1,482,2,0,540,58,1,"	209,219" 
2020-11-03T21:00:00Z,"SPY   201127P00295000",2020-11-06T21:00:00Z,Buy,2.82,0.59,1,-223,2,-248.5,0,248.5,0,"	210,220" 
2020-11-03T21:00:00Z,"IWM   201127P00148000",2020-11-06T21:00:00Z,Sell,3.49,0.79,1,270,2,0,285.5,15.5,1,"	211,221" 
2020-11-03T21:00:00Z,"IWM   201127P00135000",2020-11-06T21:00:00Z,Buy,1.22,0.19,1,-103,2,-106.5,0,106.5,0,"	212,222" 
2020-11-03T21:00:00Z,"QQQ   201127P00257500",2020-11-06T21:00:00Z,Sell,6.11,1.2,1,491,2,0,536,45,1,"	213,223" 
