run_id,trade_id,date,event_type,event_price,event_qty,fees,slippage,notes
sim_2019-02-09_2026-05-21_138e7b4fbb82,put_credit_spread_DIA_000047,2022-11-16,EXIT,0.11,2,2.0,0.0055,EARLY_PROFIT_TARGET
sim_2019-02-09_2026-05-21_138e7b4fbb82,put_credit_spread_DIA_000048,2022-11-16,ENTRY,2.315,2,2.0,0.11575,entry_open
sim_2019-02-09_2026-05-21_138e7b4fbb82,put_credit_spread_DIA_000048,2022-11-30,EXIT,0.535,2,2.0,0.02675,EARLY_PROFIT_TARGET
sim_2019-02-09_2026-05-21_138e7b4fbb82,put_credit_spread_DIA_000049,2022-11-30,ENTRY,2.81,2,2.0,0.1405,entry_open
sim_2019-02-09_2026-05-21_138e7b4fbb82,put_credit_spread_DIA_000049,2022-12-28,ROLL,2.81,2,2.0,0.1405,ITM_NEAR_EXPIRY_ROLL
sim_2019-02-09_2026-05-21_138e7b4fbb82,put_credit_spread_DIA_000050,2022-12-28,ENTRY,3.215,2,2.0,0.16075,entry_open
sim_2019-02-09_2026-05-21_138e7b4fbb82,put_credit_spread_DIA_000050,2023-01-13,EXIT,0.145,2,2.0,0.00725,EARLY_PROFIT_TARGET
sim_2019-02-09_2026-05-21_138e7b4fbb82,put_credit_spread_DIA_000051,2023-01-13,ENTRY,2.01,2,2.0,0.1005,entry_open
sim_2019-02-09_2026-05-21_138e7b4fbb82,put_credit_spread_DIA_000051,2023-02-10,EXIT,0.0,2,2.0,0.0,EARLY_PROFIT_TARGET
sim_2019-02-09_2026-05-21_138e7b4fbb82,put_credit_spread_DIA_000052,2023-02-10,ENTRY,2.855,2,2.0,0.14275,entry_open
sim_2019-02-09_2026-05-21_138e7b4fbb82,put_credit_spread_DIA_000052,2023-03-08,ROLL,3.16,2,2.0,0.158,ITM_NEAR_EXPIRY_ROLL
sim_2019-02-09_2026-05-21_138e7b4fbb82,put_credit_spread_DIA_000053,2023-03-08,ENTRY,2.65,2,2.0,0.1325,entry_open
sim_2019-02-09_2026-05-21_138e7b4fbb82,put_credit_spread_DIA_000053,2023-04-06,EXIT,0.0,2,2.0,0.0,EARLY_PROFIT_TARGET
sim_2019-02-09_2026-05-21_138e7b4fbb82,put_credit_spread_DIA_000054,2023-04-10,ENTRY,1.69,2,2.0,0.0845,entry_open
sim_2019-02-09_2026-05-21_138e7b4fbb82,put_credit_spread_DIA_000054,2023-05-05,EXIT,0.0,2,2.0,0.0,EARLY_PROFIT_TARGET
sim_2019-02-09_2026-05-21_138e7b4fbb82,put_credit_spread_DIA_000055,2023-05-05,ENTRY,1.76,2,2.0,0.088,entry_open
sim_2019-02-09_2026-05-21_138e7b4fbb82,put_credit_spread_DIA_000055,2023-05-31,ROLL,1.76,2,2.0,0.088,ITM_NEAR_EXPIRY_ROLL
sim_2019-02-09_2026-05-21_138e7b4fbb82,put_credit_spread_DIA_000056,2023-05-31,ENTRY,2.24,2,2.0,0.112,entry_open
sim_2019-02-09_2026-05-21_138e7b4fbb82,put_credit_spread_DIA_000056,2023-06-30,EXIT,0.0,2,2.0,0.0,EARLY_PROFIT_TARGET
sim_2019-02-09_2026-05-21_138e7b4fbb82,put_credit_spread_DIA_000057,2023-06-30,ENTRY,0.77,2,2.0,0.0385,entry_open
sim_2019-02-09_2026-05-21_138e7b4fbb82,put_credit_spread_DIA_000057,2023-07-28,EXIT,0.0,2,2.0,0.0,EARLY_PROFIT_TARGET
sim_2019-02-09_2026-05-21_138e7b4fbb82,put_credit_spread_DIA_000058,2023-07-28,ENTRY,0.805,2,2.0,0.04025,entry_open
sim_2019-02-09_2026-05-21_138e7b4fbb82,put_credit_spread_DIA_000058,2023-08-23,ROLL,0.805,2,2.0,0.04025,ITM_NEAR_EXPIRY_ROLL
sim_2019-02-09_2026-05-21_138e7b4fbb82,put_credit_spread_DIA_000059,2023-08-23,ENTRY,1.635,2,2.0,0.08175,entry_open
sim_2019-02-09_2026-05-21_138e7b4fbb82,put_credit_spread_DIA_000059,2023-09-22,EXIT,0.0,2,2.0,0.0,EARLY_PROFIT_TARGET
sim_2019-02-09_2026-05-21_138e7b4fbb82,put_credit_spread_DIA_000060,2023-09-22,ENTRY,1.525,2,2.0,0.07625,entry_open
sim_2019-02-09_2026-05-21_138e7b4fbb82,put_credit_spread_DIA_000060,2023-10-20,ROLL,1.809998,2,2.0,0.0905,ITM_NEAR_EXPIRY_ROLL
sim_2019-02-09_2026-05-21_138e7b4fbb82,put_credit_spread_DIA_000061,2023-10-20,ENTRY,2.24,2,2.0,0.112,entry_open
sim_2019-02-09_2026-05-21_138e7b4fbb82,put_credit_spread_DIA_000061,2023-11-17,EXIT,0.0,2,2.0,0.0,EARLY_PROFIT_TARGET
sim_2019-02-09_2026-05-21_138e7b4fbb82,put_credit_spread_DIA_000062,2023-11-17,ENTRY,0.755,2,2.0,0.03775,entry_open
sim_2019-02-09_2026-05-21_138e7b4fbb82,put_credit_spread_DIA_000062,2023-12-15,EXIT,0.0,2,2.0,0.0,EARLY_PROFIT_TARGET
sim_2019-02-09_2026-05-21_138e7b4fbb82,put_credit_spread_DIA_000063,2023-12-15,ENTRY,0.62,2,2.0,0.031,entry_open
sim_2019-02-09_2026-05-21_138e7b4fbb82,put_credit_spread_DIA_000063,2024-01-12,EXIT,0.0,2,2.0,0.0,EARLY_PROFIT_TARGET
sim_2019-02-09_2026-05-21_138e7b4fbb82,put_credit_spread_DIA_000064,2024-01-12,ENTRY,0.79,2,2.0,0.0395,entry_open
sim_2019-02-09_2026-05-21_138e7b4fbb82,put_credit_spread_DIA_000064,2024-01-29,EXIT,0.495,2,2.0,0.02475,EARLY_PROFIT_TARGET
sim_2019-02-09_2026-05-21_138e7b4fbb82,put_credit_spread_DIA_000065,2024-01-29,ENTRY,0.955,2,2.0,0.04775,entry_open
sim_2019-02-09_2026-05-21_138e7b4fbb82,put_credit_spread_DIA_000065,2024-02-23,EXIT,0.0,2,2.0,0.0,EARLY_PROFIT_TARGET
sim_2019-02-09_2026-05-21_138e7b4fbb82,put_credit_spread_DIA_000066,2024-02-23,ENTRY,1.265,2,2.0,0.06325,entry_open
sim_2019-02-09_2026-05-21_138e7b4fbb82,put_credit_spread_DIA_000066,2024-03-22,EXIT,0.0,2,2.0,0.0,EARLY_PROFIT_TARGET
sim_2019-02-09_2026-05-21_138e7b4fbb82,put_credit_spread_DIA_000067,2024-03-25,ENTRY,0.775,2,2.0,0.03875,entry_open
sim_2019-02-09_2026-05-21_138e7b4fbb82,put_credit_spread_DIA_000067,2024-04-17,ROLL,0.775,2,2.0,0.03875,ITM_NEAR_EXPIRY_ROLL
sim_2019-02-09_2026-05-21_138e7b4fbb82,put_credit_spread_DIA_000068,2024-04-17,ENTRY,2.15,2,2.0,0.1075,entry_open
sim_2019-02-09_2026-05-21_138e7b4fbb82,put_credit_spread_DIA_000068,2024-05-17,EXIT,0.0,2,2.0,0.0,EARLY_PROFIT_TARGET
