run_id,date,strategy,symbol,trade_id,expiration,strike_short,strike_long,entry_credit,max_risk
sim_2019-02-09_2026-05-21_138e7b4fbb82,2022-03-28,put_credit_spread,DIA,put_credit_spread_DIA_000038,2022-04-22,343.0,322.0,2.29,1871.0
sim_2019-02-09_2026-05-21_138e7b4fbb82,2022-04-22,put_credit_spread,DIA,put_credit_spread_DIA_000039,2022-05-20,325.0,305.0,3.025,1697.5
sim_2019-02-09_2026-05-21_138e7b4fbb82,2022-05-23,put_credit_spread,DIA,put_credit_spread_DIA_000040,2022-06-17,306.0,287.0,2.45,1655.0
sim_2019-02-09_2026-05-21_138e7b4fbb82,2022-06-17,put_credit_spread,DIA,put_credit_spread_DIA_000041,2022-07-15,285.0,270.0,1.98,1302.0
sim_2019-02-09_2026-05-21_138e7b4fbb82,2022-06-29,put_credit_spread,DIA,put_credit_spread_DIA_000042,2022-07-29,298.0,280.0,2.545,1545.5
sim_2019-02-09_2026-05-21_138e7b4fbb82,2022-07-29,put_credit_spread,DIA,put_credit_spread_DIA_000043,2022-08-26,322.0,302.5,2.835,1666.5
sim_2019-02-09_2026-05-21_138e7b4fbb82,2022-08-26,put_credit_spread,DIA,put_credit_spread_DIA_000044,2022-09-23,310.0,295.0,2.025,1297.5
sim_2019-02-09_2026-05-21_138e7b4fbb82,2022-09-21,put_credit_spread,DIA,put_credit_spread_DIA_000045,2022-10-21,290.0,270.0,2.7,1730.0
sim_2019-02-09_2026-05-21_138e7b4fbb82,2022-10-24,put_credit_spread,DIA,put_credit_spread_DIA_000046,2022-11-18,302.0,284.0,2.7,1530.0
sim_2019-02-09_2026-05-21_138e7b4fbb82,2022-11-02,put_credit_spread,DIA,put_credit_spread_DIA_000047,2022-12-02,309.0,296.0,2.19,1081.0
sim_2019-02-09_2026-05-21_138e7b4fbb82,2022-11-16,put_credit_spread,DIA,put_credit_spread_DIA_000048,2022-12-16,325.0,310.0,2.315,1268.5
sim_2019-02-09_2026-05-21_138e7b4fbb82,2022-11-30,put_credit_spread,DIA,put_credit_spread_DIA_000049,2022-12-30,339.0,318.0,2.81,1819.0
sim_2019-02-09_2026-05-21_138e7b4fbb82,2022-12-28,put_credit_spread,DIA,put_credit_spread_DIA_000050,2023-01-27,322.0,300.0,3.215,1878.5
sim_2019-02-09_2026-05-21_138e7b4fbb82,2023-01-13,put_credit_spread,DIA,put_credit_spread_DIA_000051,2023-02-10,336.0,322.0,2.01,1199.0
sim_2019-02-09_2026-05-21_138e7b4fbb82,2023-02-10,put_credit_spread,DIA,put_credit_spread_DIA_000052,2023-03-10,332.0,310.0,2.855,1914.5
sim_2019-02-09_2026-05-21_138e7b4fbb82,2023-03-08,put_credit_spread,DIA,put_credit_spread_DIA_000053,2023-04-06,322.0,303.0,2.65,1635.0
sim_2019-02-09_2026-05-21_138e7b4fbb82,2023-04-10,put_credit_spread,DIA,put_credit_spread_DIA_000054,2023-05-05,329.0,316.0,1.69,1131.0
sim_2019-02-09_2026-05-21_138e7b4fbb82,2023-05-05,put_credit_spread,DIA,put_credit_spread_DIA_000055,2023-06-02,330.0,317.0,1.76,1124.0
sim_2019-02-09_2026-05-21_138e7b4fbb82,2023-05-31,put_credit_spread,DIA,put_credit_spread_DIA_000056,2023-06-30,323.0,303.0,2.24,1776.0
sim_2019-02-09_2026-05-21_138e7b4fbb82,2023-06-30,put_credit_spread,DIA,put_credit_spread_DIA_000057,2023-07-28,337.0,330.0,0.77,623.0
sim_2019-02-09_2026-05-21_138e7b4fbb82,2023-07-28,put_credit_spread,DIA,put_credit_spread_DIA_000058,2023-08-25,347.0,340.0,0.805,619.5
sim_2019-02-09_2026-05-21_138e7b4fbb82,2023-08-23,put_credit_spread,DIA,put_credit_spread_DIA_000059,2023-09-22,338.0,325.0,1.635,1136.5
sim_2019-02-09_2026-05-21_138e7b4fbb82,2023-09-22,put_credit_spread,DIA,put_credit_spread_DIA_000060,2023-10-20,333.0,320.0,1.525,1147.5
sim_2019-02-09_2026-05-21_138e7b4fbb82,2023-10-20,put_credit_spread,DIA,put_credit_spread_DIA_000061,2023-11-17,325.0,310.0,2.24,1276.0
sim_2019-02-09_2026-05-21_138e7b4fbb82,2023-11-17,put_credit_spread,DIA,put_credit_spread_DIA_000062,2023-12-15,342.0,335.0,0.755,624.5
sim_2019-02-09_2026-05-21_138e7b4fbb82,2023-12-15,put_credit_spread,DIA,put_credit_spread_DIA_000063,2024-01-12,365.0,357.5,0.62,688.0
sim_2019-02-09_2026-05-21_138e7b4fbb82,2024-01-12,put_credit_spread,DIA,put_credit_spread_DIA_000064,2024-02-09,368.0,361.0,0.79,621.0
sim_2019-02-09_2026-05-21_138e7b4fbb82,2024-01-29,put_credit_spread,DIA,put_credit_spread_DIA_000065,2024-02-23,376.0,368.0,0.955,704.5
sim_2019-02-09_2026-05-21_138e7b4fbb82,2024-02-23,put_credit_spread,DIA,put_credit_spread_DIA_000066,2024-03-22,383.0,368.0,1.265,1373.5
sim_2019-02-09_2026-05-21_138e7b4fbb82,2024-03-25,put_credit_spread,DIA,put_credit_spread_DIA_000067,2024-04-19,385.0,377.0,0.775,722.5
sim_2019-02-09_2026-05-21_138e7b4fbb82,2024-04-17,put_credit_spread,DIA,put_credit_spread_DIA_000068,2024-05-17,370.0,355.0,2.15,1285.0
sim_2019-02-09_2026-05-21_138e7b4fbb82,2024-05-17,put_credit_spread,DIA,put_credit_spread_DIA_000069,2024-06-14,392.0,384.0,0.73,727.0
sim_2019-02-09_2026-05-21_138e7b4fbb82,2024-06-12,put_credit_spread,DIA,put_credit_spread_DIA_000070,2024-07-12,380.0,372.0,0.91,709.0
sim_2019-02-09_2026-05-21_138e7b4fbb82,2024-07-12,put_credit_spread,DIA,put_credit_spread_DIA_000071,2024-08-09,392.5,384.0,0.98,752.0
