run_id,date,strategy,symbol,trade_id,option_pnl,hedge_pnl,total_pnl,cum_pnl,margin_used,max_risk,vix_close,iv_current,hv_current
sim_2019-02-09_2026-05-21_138e7b4fbb82,2019-05-10,short_straddle,DIA,short_straddle_DIA_000001,-2.43375,0.0,-2.43375,-2.43375,4330.900269,4330.900269,16.040000915527344,0.1529,0.0953
sim_2019-02-09_2026-05-21_138e7b4fbb82,2019-05-10,put_credit_spread,DIA,put_credit_spread_DIA_000002,-2.0965,0.0,-2.0965,-4.53025,1057.0,1057.0,16.040000915527344,0.1529,0.0953
sim_2019-02-09_2026-05-21_138e7b4fbb82,2019-05-13,short_straddle,DIA,short_straddle_DIA_000001,0.0,-0.126735,-0.126735,-4.656985,4330.900269,4330.900269,20.549999237060547,,
sim_2019-02-09_2026-05-21_138e7b4fbb82,2019-05-13,put_credit_spread,DIA,put_credit_spread_DIA_000002,0.0,0.0,0.0,-4.656985,1057.0,1057.0,20.549999237060547,,
sim_2019-02-09_2026-05-21_138e7b4fbb82,2019-05-14,short_straddle,DIA,short_straddle_DIA_000001,0.0,2.339996,2.339996,-2.316989,4330.900269,4330.900269,18.059999465942383,,
sim_2019-02-09_2026-05-21_138e7b4fbb82,2019-05-14,put_credit_spread,DIA,put_credit_spread_DIA_000002,0.0,0.0,0.0,-2.316989,1057.0,1057.0,18.059999465942383,,
sim_2019-02-09_2026-05-21_138e7b4fbb82,2019-05-15,short_straddle,DIA,short_straddle_DIA_000001,0.0,1.110016,1.110016,-1.206973,4330.900269,4330.900269,16.440000534057617,,
sim_2019-02-09_2026-05-21_138e7b4fbb82,2019-05-15,put_credit_spread,DIA,put_credit_spread_DIA_000002,0.0,0.0,0.0,-1.206973,1057.0,1057.0,16.440000534057617,,
sim_2019-02-09_2026-05-21_138e7b4fbb82,2019-05-16,short_straddle,DIA,short_straddle_DIA_000001,0.0,2.23999,2.23999,1.033017,4330.900269,4330.900269,15.289999961853027,,
sim_2019-02-09_2026-05-21_138e7b4fbb82,2019-05-16,put_credit_spread,DIA,put_credit_spread_DIA_000002,0.0,0.0,0.0,1.033017,1057.0,1057.0,15.289999961853027,,
sim_2019-02-09_2026-05-21_138e7b4fbb82,2019-05-17,short_straddle,DIA,short_straddle_DIA_000001,0.0,-1.720001,-1.720001,-0.686984,4330.900269,4330.900269,15.960000038146973,,
sim_2019-02-09_2026-05-21_138e7b4fbb82,2019-05-17,put_credit_spread,DIA,put_credit_spread_DIA_000002,0.0,0.0,0.0,-0.686984,1057.0,1057.0,15.960000038146973,,
sim_2019-02-09_2026-05-21_138e7b4fbb82,2019-05-20,short_straddle,DIA,short_straddle_DIA_000001,0.0,-0.769989,-0.769989,-1.456973,4330.900269,4330.900269,16.309999465942383,,
sim_2019-02-09_2026-05-21_138e7b4fbb82,2019-05-20,put_credit_spread,DIA,put_credit_spread_DIA_000002,0.0,0.0,0.0,-1.456973,1057.0,1057.0,16.309999465942383,,
sim_2019-02-09_2026-05-21_138e7b4fbb82,2019-05-21,short_straddle,DIA,short_straddle_DIA_000001,0.0,2.099976,2.099976,0.643003,4330.900269,4330.900269,14.949999809265137,,
sim_2019-02-09_2026-05-21_138e7b4fbb82,2019-05-21,put_credit_spread,DIA,put_credit_spread_DIA_000002,0.0,0.0,0.0,0.643003,1057.0,1057.0,14.949999809265137,,
sim_2019-02-09_2026-05-21_138e7b4fbb82,2019-05-22,short_straddle,DIA,short_straddle_DIA_000001,0.0,-1.169983,-1.169983,-0.52698,4330.900269,4330.900269,14.75,,
sim_2019-02-09_2026-05-21_138e7b4fbb82,2019-05-22,put_credit_spread,DIA,put_credit_spread_DIA_000002,0.0,0.0,0.0,-0.52698,1057.0,1057.0,14.75,,
sim_2019-02-09_2026-05-21_138e7b4fbb82,2019-05-23,short_straddle,DIA,short_straddle_DIA_000001,0.0,-2.840012,-2.840012,-3.366992,4330.900269,4330.900269,16.920000076293945,,
sim_2019-02-09_2026-05-21_138e7b4fbb82,2019-05-23,put_credit_spread,DIA,put_credit_spread_DIA_000002,0.0,0.0,0.0,-3.366992,1057.0,1057.0,16.920000076293945,,
sim_2019-02-09_2026-05-21_138e7b4fbb82,2019-05-24,short_straddle,DIA,short_straddle_DIA_000001,0.0,1.360001,1.360001,-2.006991,4330.900269,4330.900269,15.850000381469728,,
sim_2019-02-09_2026-05-21_138e7b4fbb82,2019-05-24,put_credit_spread,DIA,put_credit_spread_DIA_000002,0.0,0.0,0.0,-2.006991,1057.0,1057.0,15.850000381469728,,
sim_2019-02-09_2026-05-21_138e7b4fbb82,2019-05-28,short_straddle,DIA,short_straddle_DIA_000001,0.0,-2.649994,-2.649994,-4.656985,4330.900269,4330.900269,17.5,,
sim_2019-02-09_2026-05-21_138e7b4fbb82,2019-05-28,put_credit_spread,DIA,put_credit_spread_DIA_000002,0.0,0.0,0.0,-4.656985,1057.0,1057.0,17.5,,
sim_2019-02-09_2026-05-21_138e7b4fbb82,2019-05-29,short_straddle,DIA,short_straddle_DIA_000001,0.0,-2.199997,-2.199997,-6.856982,4330.900269,4330.900269,17.899999618530273,,
sim_2019-02-09_2026-05-21_138e7b4fbb82,2019-05-29,put_credit_spread,DIA,put_credit_spread_DIA_000002,0.0,0.0,0.0,-6.856982,1057.0,1057.0,17.899999618530273,,
sim_2019-02-09_2026-05-21_138e7b4fbb82,2019-05-30,short_straddle,DIA,short_straddle_DIA_000001,0.0,0.599991,0.599991,-6.256991,4330.900269,4330.900269,17.299999237060547,,
sim_2019-02-09_2026-05-21_138e7b4fbb82,2019-05-30,put_credit_spread,DIA,put_credit_spread_DIA_000002,0.0,0.0,0.0,-6.256991,1057.0,1057.0,17.299999237060547,,
sim_2019-02-09_2026-05-21_138e7b4fbb82,2019-05-31,short_straddle,DIA,short_straddle_DIA_000001,0.0,-3.649994,-3.649994,-9.906985,4330.900269,4330.900269,18.709999084472656,,
sim_2019-02-09_2026-05-21_138e7b4fbb82,2019-05-31,put_credit_spread,DIA,put_credit_spread_DIA_000002,0.0,0.0,0.0,-9.906985,1057.0,1057.0,18.709999084472656,,
sim_2019-02-09_2026-05-21_138e7b4fbb82,2019-06-03,short_straddle,DIA,short_straddle_DIA_000001,0.0,0.279999,0.279999,-9.626986,4330.900269,4330.900269,18.86000061035156,,
sim_2019-02-09_2026-05-21_138e7b4fbb82,2019-06-03,put_credit_spread,DIA,put_credit_spread_DIA_000002,0.0,0.0,0.0,-9.626986,1057.0,1057.0,18.86000061035156,,
sim_2019-02-09_2026-05-21_138e7b4fbb82,2019-06-04,short_straddle,DIA,short_straddle_DIA_000001,0.0,5.149994,5.149994,-4.476992,4330.900269,4330.900269,16.969999313354492,,
sim_2019-02-09_2026-05-21_138e7b4fbb82,2019-06-04,put_credit_spread,DIA,put_credit_spread_DIA_000002,0.0,0.0,0.0,-4.476992,1057.0,1057.0,16.969999313354492,,
sim_2019-02-09_2026-05-21_138e7b4fbb82,2019-06-05,short_straddle,DIA,short_straddle_DIA_000001,-2.43375,1.952137,-0.481613,-4.958605,4330.900269,4330.900269,16.09000015258789,,
sim_2019-02-09_2026-05-21_138e7b4fbb82,2019-06-05,put_credit_spread,DIA,put_credit_spread_DIA_000002,0.0,0.0,0.0,-4.958605,1057.0,1057.0,16.09000015258789,,
sim_2019-02-09_2026-05-21_138e7b4fbb82,2019-06-06,put_credit_spread,DIA,put_credit_spread_DIA_000002,0.0,0.0,0.0,-4.958605,1057.0,1057.0,15.93000030517578,,
sim_2019-02-09_2026-05-21_138e7b4fbb82,2019-06-07,put_credit_spread,DIA,put_credit_spread_DIA_000002,191.0,0.0,191.0,186.041395,1057.0,1057.0,16.299999237060547,,
sim_2019-02-09_2026-05-21_138e7b4fbb82,2020-01-06,short_straddle,DIA,short_straddle_DIA_000003,-2.3475,0.0,-2.3475,183.693895,5044.60022,5044.60022,13.850000381469728,0.1206,0.0844
sim_2019-02-09_2026-05-21_138e7b4fbb82,2020-01-06,put_credit_spread,DIA,put_credit_spread_DIA_000004,-2.056,0.0,-2.056,181.637895,1138.0,1138.0,13.850000381469728,0.1206,0.0844
sim_2019-02-09_2026-05-21_138e7b4fbb82,2020-01-07,short_straddle,DIA,short_straddle_DIA_000003,0.0,-0.57148,-0.57148,181.066415,5044.60022,5044.60022,13.789999961853027,,
sim_2019-02-09_2026-05-21_138e7b4fbb82,2020-01-07,put_credit_spread,DIA,put_credit_spread_DIA_000004,0.0,0.0,0.0,181.066415,1138.0,1138.0,13.789999961853027,,
sim_2019-02-09_2026-05-21_138e7b4fbb82,2020-01-08,short_straddle,DIA,short_straddle_DIA_000003,0.0,-6.640015,-6.640015,174.4264,5044.60022,5044.60022,13.449999809265137,0.1203,0.0862
