run_id,trade_id,strategy,symbol,entry_date,exit_date,entry_dte,entry_expiration,entry_credit,max_risk,exit_reason,realized_pnl,return_on_risk,days_held
sim_2019-02-09_2026-05-21_138e7b4fbb82,short_straddle_DIA_000001,short_straddle,DIA,2019-05-10,2019-06-05,28,2019-06-07,8.675,4330.900269,PRE_EXPIRY_CLOSE,-0.428355,-9.9e-05,26
sim_2019-02-09_2026-05-21_138e7b4fbb82,put_credit_spread_DIA_000002,put_credit_spread,DIA,2019-05-10,2019-06-07,28,2019-06-07,1.93,1057.0,EARLY_PROFIT_TARGET,191.0,0.1807,28
sim_2019-02-09_2026-05-21_138e7b4fbb82,short_straddle_DIA_000003,short_straddle,DIA,2020-01-06,2020-01-29,25,2020-01-31,6.95,5044.60022,PRE_EXPIRY_CLOSE,-154.593989,-0.030645,23
sim_2019-02-09_2026-05-21_138e7b4fbb82,put_credit_spread_DIA_000004,put_credit_spread,DIA,2020-01-06,2020-01-31,25,2020-01-31,1.12,1138.0,EARLY_PROFIT_TARGET,110.0,0.096661,25
sim_2019-02-09_2026-05-21_138e7b4fbb82,short_straddle_DIA_000005,short_straddle,DIA,2020-01-29,2020-02-26,30,2020-02-28,9.575,4788.300171,PRE_EXPIRY_CLOSE,-130.153125,-0.027181,28
sim_2019-02-09_2026-05-21_138e7b4fbb82,put_credit_spread_DIA_000006,put_credit_spread,DIA,2020-01-31,2020-02-26,28,2020-02-28,2.575,1242.5,ITM_NEAR_EXPIRY_ROLL,86.4155,0.06955,26
sim_2019-02-09_2026-05-21_138e7b4fbb82,short_straddle_DIA_000007,short_straddle,DIA,2020-02-26,2020-03-25,30,2020-03-27,15.55,3839.799805,PRE_EXPIRY_CLOSE,-183.63764,-0.047825,28
sim_2019-02-09_2026-05-21_138e7b4fbb82,put_credit_spread_DIA_000008,put_credit_spread,DIA,2020-02-26,2020-03-25,30,2020-03-27,2.085,791.5,ITM_NEAR_EXPIRY_ROLL,-1561.88375,-1.973321,28
sim_2019-02-09_2026-05-21_138e7b4fbb82,put_credit_spread_DIA_000009,put_credit_spread,DIA,2020-03-30,2020-04-13,25,2020-04-24,6.23,3377.0,EARLY_PROFIT_TARGET,516.948,0.153079,14
sim_2019-02-09_2026-05-21_138e7b4fbb82,put_credit_spread_DIA_000010,put_credit_spread,DIA,2020-04-13,2020-05-08,25,2020-05-08,3.685,1731.5,EARLY_PROFIT_TARGET,366.5,0.211666,25
