run_id,date,strategy,open_trades,margin_used,equity,margin_utilization
sim_2026-04-01_2026-05-21_06165504517a,2026-04-01,short_straddle,0,0.0,999997.69125,0.0
sim_2026-04-01_2026-05-21_06165504517a,2026-04-01,put_credit_spread,1,3982.5,999997.69125,0.003983
sim_2026-04-01_2026-05-21_06165504517a,2026-04-02,short_straddle,0,0.0,999995.69125,0.0
sim_2026-04-01_2026-05-21_06165504517a,2026-04-02,put_credit_spread,1,3982.5,999995.69125,0.003983
sim_2026-04-01_2026-05-21_06165504517a,2026-04-06,short_straddle,0,0.0,999995.69125,0.0
sim_2026-04-01_2026-05-21_06165504517a,2026-04-06,put_credit_spread,1,3982.5,999995.69125,0.003983
sim_2026-04-01_2026-05-21_06165504517a,2026-04-07,short_straddle,0,0.0,999995.69125,0.0
sim_2026-04-01_2026-05-21_06165504517a,2026-04-07,put_credit_spread,1,3982.5,999995.69125,0.003983
sim_2026-04-01_2026-05-21_06165504517a,2026-04-08,short_straddle,0,0.0,999995.69125,0.0
sim_2026-04-01_2026-05-21_06165504517a,2026-04-08,put_credit_spread,1,3982.5,999995.69125,0.003983
sim_2026-04-01_2026-05-21_06165504517a,2026-04-09,short_straddle,0,0.0,999995.69125,0.0
sim_2026-04-01_2026-05-21_06165504517a,2026-04-09,put_credit_spread,1,3982.5,999995.69125,0.003983
sim_2026-04-01_2026-05-21_06165504517a,2026-04-10,short_straddle,0,0.0,999995.69125,0.0
sim_2026-04-01_2026-05-21_06165504517a,2026-04-10,put_credit_spread,1,3982.5,999995.69125,0.003983
sim_2026-04-01_2026-05-21_06165504517a,2026-04-13,short_straddle,0,0.0,999995.69125,0.0
sim_2026-04-01_2026-05-21_06165504517a,2026-04-13,put_credit_spread,1,3982.5,999995.69125,0.003983
sim_2026-04-01_2026-05-21_06165504517a,2026-04-14,short_straddle,0,0.0,999995.69125,0.0
sim_2026-04-01_2026-05-21_06165504517a,2026-04-14,put_credit_spread,1,3982.5,999995.69125,0.003983
sim_2026-04-01_2026-05-21_06165504517a,2026-04-15,short_straddle,0,0.0,999995.69125,0.0
sim_2026-04-01_2026-05-21_06165504517a,2026-04-15,put_credit_spread,1,3982.5,999995.69125,0.003983
sim_2026-04-01_2026-05-21_06165504517a,2026-04-16,short_straddle,0,0.0,999995.69125,0.0
sim_2026-04-01_2026-05-21_06165504517a,2026-04-16,put_credit_spread,1,3982.5,999995.69125,0.003983
sim_2026-04-01_2026-05-21_06165504517a,2026-04-17,short_straddle,0,0.0,999995.69125,0.0
sim_2026-04-01_2026-05-21_06165504517a,2026-04-17,put_credit_spread,1,3982.5,999995.69125,0.003983
sim_2026-04-01_2026-05-21_06165504517a,2026-04-20,short_straddle,0,0.0,999995.69125,0.0
sim_2026-04-01_2026-05-21_06165504517a,2026-04-20,put_credit_spread,1,3982.5,999995.69125,0.003983
sim_2026-04-01_2026-05-21_06165504517a,2026-04-21,short_straddle,0,0.0,999995.69125,0.0
sim_2026-04-01_2026-05-21_06165504517a,2026-04-21,put_credit_spread,1,3982.5,999995.69125,0.003983
sim_2026-04-01_2026-05-21_06165504517a,2026-04-22,short_straddle,0,0.0,999995.69125,0.0
sim_2026-04-01_2026-05-21_06165504517a,2026-04-22,put_credit_spread,1,3982.5,999995.69125,0.003983
sim_2026-04-01_2026-05-21_06165504517a,2026-04-23,short_straddle,0,0.0,999995.69125,0.0
sim_2026-04-01_2026-05-21_06165504517a,2026-04-23,put_credit_spread,1,3982.5,999995.69125,0.003983
sim_2026-04-01_2026-05-21_06165504517a,2026-04-24,short_straddle,0,0.0,999995.69125,0.0
sim_2026-04-01_2026-05-21_06165504517a,2026-04-24,put_credit_spread,1,3982.5,999995.69125,0.003983
sim_2026-04-01_2026-05-21_06165504517a,2026-04-27,short_straddle,0,0.0,999995.69125,0.0
sim_2026-04-01_2026-05-21_06165504517a,2026-04-27,put_credit_spread,1,3982.5,999995.69125,0.003983
sim_2026-04-01_2026-05-21_06165504517a,2026-04-28,short_straddle,0,0.0,999995.69125,0.0
sim_2026-04-01_2026-05-21_06165504517a,2026-04-28,put_credit_spread,1,3982.5,999995.69125,0.003983
sim_2026-04-01_2026-05-21_06165504517a,2026-04-29,short_straddle,0,0.0,999995.69125,0.0
sim_2026-04-01_2026-05-21_06165504517a,2026-04-29,put_credit_spread,1,3982.5,999995.69125,0.003983
sim_2026-04-01_2026-05-21_06165504517a,2026-04-30,short_straddle,0,0.0,1000610.958,0.0
sim_2026-04-01_2026-05-21_06165504517a,2026-04-30,put_credit_spread,1,3133.5,1000610.958,0.003132
sim_2026-04-01_2026-05-21_06165504517a,2026-05-01,short_straddle,0,0.0,1000610.958,0.0
sim_2026-04-01_2026-05-21_06165504517a,2026-05-01,put_credit_spread,1,3133.5,1000610.958,0.003132
sim_2026-04-01_2026-05-21_06165504517a,2026-05-04,short_straddle,0,0.0,1000541.958,0.0
sim_2026-04-01_2026-05-21_06165504517a,2026-05-04,put_credit_spread,1,3133.5,1000541.958,0.003132
sim_2026-04-01_2026-05-21_06165504517a,2026-05-05,short_straddle,0,0.0,1000541.958,0.0
sim_2026-04-01_2026-05-21_06165504517a,2026-05-05,put_credit_spread,1,3133.5,1000541.958,0.003132
sim_2026-04-01_2026-05-21_06165504517a,2026-05-06,short_straddle,0,0.0,1000541.958,0.0
sim_2026-04-01_2026-05-21_06165504517a,2026-05-06,put_credit_spread,1,3133.5,1000541.958,0.003132
sim_2026-04-01_2026-05-21_06165504517a,2026-05-07,short_straddle,0,0.0,1000541.958,0.0
