run_id,date,strategy,symbol,expiration,strike_short,strike_long,vix_close,iv_current,hv_current,vrp,candidate_score,is_eligible,fail_reason
sim_2026-04-01_2026-05-21_06165504517a,2026-04-01,short_straddle,SPY,2026-04-30,655.0,,24.540000915527344,0.2092,0.1672,0.04200000000000001,1.038383,False,vix_gate_failed
sim_2026-04-01_2026-05-21_06165504517a,2026-04-01,put_credit_spread,SPY,2026-04-30,636.0,590.0,24.540000915527344,0.2092,0.1672,0.04200000000000001,1.033734,True,
sim_2026-04-01_2026-05-21_06165504517a,2026-04-02,short_straddle,SPY,2026-04-30,656.0,,23.8700008392334,0.2058,0.1673,0.038500000000000006,1.033225,False,vix_gate_failed
sim_2026-04-01_2026-05-21_06165504517a,2026-04-06,short_straddle,SPY,2026-05-01,659.0,,24.170000076293945,0.2032,0.1664,0.0368,1.032824,False,vix_gate_failed
sim_2026-04-01_2026-05-21_06165504517a,2026-04-07,short_straddle,SPY,2026-05-08,659.0,,25.780000686645508,0.2165,0.1644,0.05210000000000001,1.046326,False,vix_gate_failed
sim_2026-04-01_2026-05-21_06165504517a,2026-04-08,short_straddle,SPY,2026-05-08,676.0,,21.040000915527344,0.1735,0.1798,-0.0063,0.995773,False,vix_gate_failed
sim_2026-04-01_2026-05-21_06165504517a,2026-04-09,short_straddle,SPY,2026-05-08,680.0,,19.489999771118164,0.1613,0.1788,-0.017499999999999988,0.997247,False,vix_gate_failed
sim_2026-04-01_2026-05-21_06165504517a,2026-04-10,short_straddle,SPY,2026-05-08,679.0,,19.229999542236328,0.1589,0.1782,-0.019299999999999984,0.99537,False,vix_gate_failed
sim_2026-04-01_2026-05-21_06165504517a,2026-04-13,short_straddle,SPY,2026-05-08,686.0,,19.1200008392334,0.1535,0.1801,-0.026600000000000013,0.995509,False,vix_gate_failed
sim_2026-04-01_2026-05-21_06165504517a,2026-04-14,short_straddle,SPY,2026-05-15,694.0,,18.36000061035156,0.1501,0.1835,-0.033399999999999985,0.996249,False,vix_gate_failed
sim_2026-04-01_2026-05-21_06165504517a,2026-04-15,short_straddle,SPY,2026-05-15,700.0,,18.170000076293945,0.1507,0.1825,-0.031799999999999995,0.996228,False,vix_gate_failed
sim_2026-04-01_2026-05-21_06165504517a,2026-04-16,short_straddle,SPY,2026-05-15,702.0,,17.940000534057617,0.1489,0.1817,-0.032799999999999996,0.99698,False,vix_gate_failed
sim_2026-04-01_2026-05-21_06165504517a,2026-04-17,short_straddle,SPY,2026-05-15,710.0,,17.479999542236328,0.1457,0.1835,-0.0378,0.995102,False,vix_gate_failed
sim_2026-04-01_2026-05-21_06165504517a,2026-04-20,short_straddle,SPY,2026-05-15,709.0,,18.8700008392334,0.1576,0.1786,-0.02100000000000002,0.996988,False,vix_gate_failed
sim_2026-04-01_2026-05-21_06165504517a,2026-04-21,short_straddle,SPY,2026-05-22,704.0,,19.5,0.1702,0.1789,-0.008700000000000013,0.994616,False,vix_gate_failed
sim_2026-04-01_2026-05-21_06165504517a,2026-04-22,short_straddle,SPY,2026-05-22,711.0,,18.920000076293945,0.1561,0.1805,-0.024400000000000005,0.995658,False,vix_gate_failed
sim_2026-04-01_2026-05-21_06165504517a,2026-04-23,short_straddle,SPY,2026-05-22,708.0,,19.309999465942383,0.1609,0.181,-0.020100000000000007,0.988615,False,vix_gate_failed
sim_2026-04-01_2026-05-21_06165504517a,2026-04-24,short_straddle,SPY,2026-05-22,714.0,,18.709999084472656,0.1584,0.1745,-0.016099999999999975,0.995573,False,vix_gate_failed
sim_2026-04-01_2026-05-21_06165504517a,2026-04-27,short_straddle,SPY,2026-05-22,715.0,,18.020000457763672,0.1542,0.1729,-0.018699999999999994,0.99708,False,vix_gate_failed
sim_2026-04-01_2026-05-21_06165504517a,2026-04-28,short_straddle,SPY,2026-05-29,712.0,,17.829999923706055,0.1533,0.1727,-0.0194,0.996396,False,vix_gate_failed
sim_2026-04-01_2026-05-21_06165504517a,2026-04-29,short_straddle,SPY,2026-05-29,712.0,,18.809999465942383,0.1566,0.1728,-0.01620000000000002,0.991647,False,vix_gate_failed
sim_2026-04-01_2026-05-21_06165504517a,2026-04-30,short_straddle,SPY,2026-05-29,719.0,,16.889999389648438,0.1443,0.1673,-0.022999999999999993,0.985648,False,vix_gate_failed
sim_2026-04-01_2026-05-21_06165504517a,2026-04-30,put_credit_spread,SPY,2026-05-29,697.0,661.0,16.889999389648438,0.1443,0.1673,-0.022999999999999993,0.990655,True,
sim_2026-04-01_2026-05-21_06165504517a,2026-05-01,short_straddle,SPY,,,,16.989999771118164,,,,0.0,False,missing_candidate_legs
sim_2026-04-01_2026-05-21_06165504517a,2026-05-04,short_straddle,SPY,2026-05-29,718.0,,18.290000915527344,0.1523,0.1567,-0.004400000000000015,0.995628,False,vix_gate_failed
sim_2026-04-01_2026-05-21_06165504517a,2026-05-05,short_straddle,SPY,2026-06-05,724.0,,17.3799991607666,0.148,0.1559,-0.007900000000000018,0.996329,False,vix_gate_failed
sim_2026-04-01_2026-05-21_06165504517a,2026-05-06,short_straddle,SPY,2026-06-05,734.0,,17.389999389648438,0.1475,0.1575,-0.010000000000000009,0.996188,False,vix_gate_failed
sim_2026-04-01_2026-05-21_06165504517a,2026-05-07,short_straddle,SPY,2026-06-05,732.0,,17.079999923706055,0.146,0.1587,-0.012700000000000017,0.994691,False,vix_gate_failed
sim_2026-04-01_2026-05-21_06165504517a,2026-05-08,short_straddle,SPY,2026-06-05,738.0,,17.190000534057617,0.146,0.1453,0.0006999999999999784,0.996388,False,vix_gate_failed
sim_2026-04-01_2026-05-21_06165504517a,2026-05-11,short_straddle,SPY,2026-06-05,739.0,,18.3799991607666,0.1546,0.1302,0.024399999999999977,1.020549,False,vix_gate_failed
sim_2026-04-01_2026-05-21_06165504517a,2026-05-12,short_straddle,SPY,2026-06-12,738.0,,17.989999771118164,0.1511,0.1293,0.021800000000000014,1.017556,False,vix_gate_failed
sim_2026-04-01_2026-05-21_06165504517a,2026-05-13,short_straddle,SPY,,,,17.8700008392334,,,,0.0,False,missing_candidate_legs
sim_2026-04-01_2026-05-21_06165504517a,2026-05-14,short_straddle,SPY,,,,17.260000228881836,,,,0.0,False,missing_candidate_legs
sim_2026-04-01_2026-05-21_06165504517a,2026-05-15,short_straddle,SPY,2026-06-12,739.0,,18.43000030517578,0.1534,0.1184,0.035,1.027185,False,vix_gate_failed
sim_2026-04-01_2026-05-21_06165504517a,2026-05-18,short_straddle,SPY,2026-06-18,739.0,,17.81999969482422,0.1527,0.1191,0.033600000000000005,1.030305,False,vix_gate_failed
sim_2026-04-01_2026-05-21_06165504517a,2026-05-19,short_straddle,SPY,2026-06-18,734.0,,18.059999465942383,0.1573,0.1226,0.034699999999999995,1.030177,False,vix_gate_failed
sim_2026-04-01_2026-05-21_06165504517a,2026-05-20,short_straddle,SPY,2026-06-18,741.0,,17.440000534057617,0.1511,0.1063,0.044800000000000006,1.037369,False,vix_gate_failed
sim_2026-04-01_2026-05-21_06165504517a,2026-05-21,short_straddle,SPY,2026-06-18,743.0,,16.760000228881836,0.1438,0.106,0.037800000000000014,1.03318,False,vix_gate_failed
