run_id,date,strategy,symbol,trade_id,option_pnl,hedge_pnl,total_pnl,cum_pnl,margin_used,max_risk,vix_close,iv_current,hv_current
sim_2026-04-01_2026-05-21_06165504517a,2026-04-01,put_credit_spread,SPY,put_credit_spread_SPY_000001,-2.30875,0.0,-2.30875,-2.30875,3982.5,3982.5,24.540000915527344,0.2092,0.1672
sim_2026-04-01_2026-05-21_06165504517a,2026-04-02,put_credit_spread,SPY,put_credit_spread_SPY_000001,-2.0,0.0,-2.0,-4.30875,3982.5,3982.5,23.8700008392334,0.2058,0.1673
sim_2026-04-01_2026-05-21_06165504517a,2026-04-06,put_credit_spread,SPY,put_credit_spread_SPY_000001,0.0,0.0,0.0,-4.30875,3982.5,3982.5,24.170000076293945,0.2032,0.1664
sim_2026-04-01_2026-05-21_06165504517a,2026-04-07,put_credit_spread,SPY,put_credit_spread_SPY_000001,0.0,0.0,0.0,-4.30875,3982.5,3982.5,25.780000686645508,0.2165,0.1644
sim_2026-04-01_2026-05-21_06165504517a,2026-04-08,put_credit_spread,SPY,put_credit_spread_SPY_000001,0.0,0.0,0.0,-4.30875,3982.5,3982.5,21.040000915527344,0.1735,0.1798
sim_2026-04-01_2026-05-21_06165504517a,2026-04-09,put_credit_spread,SPY,put_credit_spread_SPY_000001,0.0,0.0,0.0,-4.30875,3982.5,3982.5,19.489999771118164,0.1613,0.1788
sim_2026-04-01_2026-05-21_06165504517a,2026-04-10,put_credit_spread,SPY,put_credit_spread_SPY_000001,0.0,0.0,0.0,-4.30875,3982.5,3982.5,19.229999542236328,0.1589,0.1782
sim_2026-04-01_2026-05-21_06165504517a,2026-04-13,put_credit_spread,SPY,put_credit_spread_SPY_000001,0.0,0.0,0.0,-4.30875,3982.5,3982.5,19.1200008392334,0.1535,0.1801
sim_2026-04-01_2026-05-21_06165504517a,2026-04-14,put_credit_spread,SPY,put_credit_spread_SPY_000001,0.0,0.0,0.0,-4.30875,3982.5,3982.5,18.36000061035156,0.1501,0.1835
sim_2026-04-01_2026-05-21_06165504517a,2026-04-15,put_credit_spread,SPY,put_credit_spread_SPY_000001,0.0,0.0,0.0,-4.30875,3982.5,3982.5,18.170000076293945,0.1507,0.1825
sim_2026-04-01_2026-05-21_06165504517a,2026-04-16,put_credit_spread,SPY,put_credit_spread_SPY_000001,0.0,0.0,0.0,-4.30875,3982.5,3982.5,17.940000534057617,0.1489,0.1817
sim_2026-04-01_2026-05-21_06165504517a,2026-04-17,put_credit_spread,SPY,put_credit_spread_SPY_000001,0.0,0.0,0.0,-4.30875,3982.5,3982.5,17.479999542236328,0.1457,0.1835
sim_2026-04-01_2026-05-21_06165504517a,2026-04-20,put_credit_spread,SPY,put_credit_spread_SPY_000001,0.0,0.0,0.0,-4.30875,3982.5,3982.5,18.8700008392334,0.1576,0.1786
sim_2026-04-01_2026-05-21_06165504517a,2026-04-21,put_credit_spread,SPY,put_credit_spread_SPY_000001,0.0,0.0,0.0,-4.30875,3982.5,3982.5,19.5,0.1702,0.1789
sim_2026-04-01_2026-05-21_06165504517a,2026-04-22,put_credit_spread,SPY,put_credit_spread_SPY_000001,0.0,0.0,0.0,-4.30875,3982.5,3982.5,18.920000076293945,0.1561,0.1805
sim_2026-04-01_2026-05-21_06165504517a,2026-04-23,put_credit_spread,SPY,put_credit_spread_SPY_000001,0.0,0.0,0.0,-4.30875,3982.5,3982.5,19.309999465942383,0.1609,0.181
sim_2026-04-01_2026-05-21_06165504517a,2026-04-24,put_credit_spread,SPY,put_credit_spread_SPY_000001,0.0,0.0,0.0,-4.30875,3982.5,3982.5,18.709999084472656,0.1584,0.1745
sim_2026-04-01_2026-05-21_06165504517a,2026-04-27,put_credit_spread,SPY,put_credit_spread_SPY_000001,0.0,0.0,0.0,-4.30875,3982.5,3982.5,18.020000457763672,0.1542,0.1729
sim_2026-04-01_2026-05-21_06165504517a,2026-04-28,put_credit_spread,SPY,put_credit_spread_SPY_000001,0.0,0.0,0.0,-4.30875,3982.5,3982.5,17.829999923706055,0.1533,0.1727
sim_2026-04-01_2026-05-21_06165504517a,2026-04-29,put_credit_spread,SPY,put_credit_spread_SPY_000001,0.0,0.0,0.0,-4.30875,3982.5,3982.5,18.809999465942383,0.1566,0.1728
sim_2026-04-01_2026-05-21_06165504517a,2026-04-30,put_credit_spread,SPY,put_credit_spread_SPY_000001,617.5,0.0,617.5,613.19125,3982.5,3982.5,16.889999389648438,0.1443,0.1673
sim_2026-04-01_2026-05-21_06165504517a,2026-04-30,put_credit_spread,SPY,put_credit_spread_SPY_000002,-2.23325,0.0,-2.23325,610.958,3133.5,3133.5,16.889999389648438,0.1443,0.1673
sim_2026-04-01_2026-05-21_06165504517a,2026-05-01,put_credit_spread,SPY,put_credit_spread_SPY_000002,0.0,0.0,0.0,610.958,3133.5,3133.5,16.989999771118164,,
sim_2026-04-01_2026-05-21_06165504517a,2026-05-04,put_credit_spread,SPY,put_credit_spread_SPY_000002,-69.0,0.0,-69.0,541.958,3133.5,3133.5,18.290000915527344,0.1523,0.1567
sim_2026-04-01_2026-05-21_06165504517a,2026-05-05,put_credit_spread,SPY,put_credit_spread_SPY_000002,0.0,0.0,0.0,541.958,3133.5,3133.5,17.3799991607666,0.148,0.1559
sim_2026-04-01_2026-05-21_06165504517a,2026-05-06,put_credit_spread,SPY,put_credit_spread_SPY_000002,0.0,0.0,0.0,541.958,3133.5,3133.5,17.389999389648438,0.1475,0.1575
sim_2026-04-01_2026-05-21_06165504517a,2026-05-07,put_credit_spread,SPY,put_credit_spread_SPY_000002,0.0,0.0,0.0,541.958,3133.5,3133.5,17.079999923706055,0.146,0.1587
sim_2026-04-01_2026-05-21_06165504517a,2026-05-08,put_credit_spread,SPY,put_credit_spread_SPY_000002,0.0,0.0,0.0,541.958,3133.5,3133.5,17.190000534057617,0.146,0.1453
sim_2026-04-01_2026-05-21_06165504517a,2026-05-11,put_credit_spread,SPY,put_credit_spread_SPY_000002,0.0,0.0,0.0,541.958,3133.5,3133.5,18.3799991607666,0.1546,0.1302
sim_2026-04-01_2026-05-21_06165504517a,2026-05-12,put_credit_spread,SPY,put_credit_spread_SPY_000002,0.0,0.0,0.0,541.958,3133.5,3133.5,17.989999771118164,0.1511,0.1293
